Дата,Регион,Город,Категория,Сумма продаж,Количество,Прибыль,Менеджер
2024-01-15,Москва,Москва,Электроника,1500000,45,300000,Иванов
2024-01-15,Москва,Москва,Одежда,800000,120,200000,Петрова
2024-01-16,СПб,Санкт-Петербург,Электроника,1200000,38,240000,Сидоров
2024-01-16,СПб,Санкт-Петербург,Продукты,500000,500,50000,Кузнецова
2024-01-17,Казань,Казань,Электроника,900000,30,180000,Иванов
2024-01-17,Казань,Казань,Мебель,600000,25,120000,Петрова
2024-01-18,Новосибирск,Новосибирск,Электроника,1100000,35,220000,Сидоров
2024-01-18,Новосибирск,Новосибирск,Одежда,700000,100,175000,Кузнецова
2024-01-19,Москва,Москва,Продукты,450000,450,45000,Иванов
2024-01-19,Москва,Москва,Мебель,800000,32,160000,Петрова
2024-01-20,СПб,Санкт-Петербург,Одежда,750000,110,187500,Сидоров
2024-01-20,СПб,Санкт-Петербург,Электроника,1300000,42,260000,Кузнецова
